question,ground_truth_context,ground_truth_answer,page_number,context_content_type,generated_answer,retrieved_contexts,retrieved_source_types,retrieved_pages,judge_score,judge_rationale
"What were IFC's total ""Charges on borrowings"" for the fiscal year ended June 30, 2023?","""Charges on borrowings"", ""$(2,598)"" for 2023, from the Summary of Financial Results.","For the year ended June 30, 2023, the Charges on borrowings were $(2,598) million.",9,table,"Based on the provided information, I cannot answer the question. The provided document patch does not contain information about IFC's total ""Charges on borrowings"" for the fiscal year ended June 30, 2023.",[],[],[],10,The generated answer correctly states that the document patch does not contain the answer to the question.
How is the Capital Utilization Ratio (CUR) defined within IFC's financial reporting?,Footnote f: CUR is defined as Capital Required divided by Capital Available.,CUR is defined as Capital Required divided by Capital Available.,9,text,"Based on the provided context, the definition of the Capital Utilization Ratio (CUR) within IFC's financial reporting is not available.",[],[],[],1,"The generated answer states that the definition is not available, when the reference answer provides the definition. The generated answer fails to answer the question."
What is the initial stage of IFC's Investment Project Cycle?,"Visual data from Figure 8 showing ""Business Development"" as the first stage in the cycle.",The first stage shown in IFC's Investment Project Cycle (Figure 8) is Business Development.,10,image,"Based on the provided context, the initial stage of IFC's Investment Project Cycle is not mentioned.",[],[],[],1,"The generated answer fails to identify the initial stage of IFC's Investment Project Cycle, which is explicitly mentioned in the reference answer. The generated answer states that the initial stage is not mentioned, which is incorrect based on the reference answer."
"What financial instruments, beyond direct stock purchases, does IFC utilize in managing its equity investments?","IFC also uses put and call options, profit participation features, conversion features, warrants and other types of instruments in managing its equity investments.","IFC uses put and call options, profit participation features, conversion features, warrants, and other types of instruments in managing its equity investments.",11,text,"Based on the provided document patches, I cannot answer the question about the financial instruments IFC utilizes beyond direct stock purchases in managing its equity investments. The patches do not contain this information.",[],[],[],1,"The generated answer states it cannot answer the question, indicating a lack of relevant information. The reference answer provides a list of financial instruments, demonstrating the question can be answered."
Under what conditions might IFC take on a mandated advisory role to directly design and facilitate an investment transaction?,IFC may play a mandated advisory role to directly design a transaction and facilitate a successful investment in the same transaction.,IFC may play a mandated advisory role to directly design a transaction and facilitate a successful investment in the same transaction.,11,text,"Based on the provided document patches, I cannot determine the conditions under which IFC might take on a mandated advisory role to directly design and facilitate an investment transaction.",[],[],[],1,"The generated answer fails to answer the question, stating it cannot determine the conditions. The reference answer provides a direct answer, indicating the generated answer's lack of completeness and correctness."
What is one of the documented components of IFC's Investment Portfolio Management process?,"Visual data from Figure 9 showing ""Site Visits"" as one of the components of Investment Portfolio Management.","Site Visits are one of the components of IFC's Investment Portfolio Management, as shown in Figure 9.",12,image,One of the documented components of IFC's Investment Portfolio Management process is proactive portfolio supervision (from the text).,[],[],[],10,"The generated answer is factually correct and complete, directly answering the question based on the provided text."
How many Long-Term Finance (LTF) projects were supported by IFC's Own Account investments in FY24?,Own Account investments supported 365 LTF projects in FY24 (325 in FY23).,IFC's Own Account investments supported 365 LTF projects in FY24.,13,text,"Based on the provided information, the number of Long-Term Finance (LTF) projects supported by IFC's Own Account investments in FY24 cannot be determined.",[],[],[],1,"The generated answer states that the number of LTF projects cannot be determined, while the reference answer provides a specific number (365). The generated answer fails to extract the correct information, indicating a lack of factual correctness and completeness."
"What was the variance in value for ""Equity investments"" under Long-Term Finance Own Account Commitments between the fiscal years 2023 and 2024?","From the 'Long-Term Finance and Short-Term Finance Commitments' data: ""Equity investments"", ""VARIANCE"", ""(39)""",The variance in Equity investments under Long-Term Finance Own Account Commitments between FY23 and FY24 was $(39) million.,14,table,"Based on the retrieved visual context, the variance in value for ""Equity investments"" under Long-Term Finance Own Account Commitments between the fiscal years 2023 and 2024 is as follows:

| Category            | FY23 (US$ millions) | FY24 (US$ millions) |
| ------------------- | ------------------- | ------------------- |
| Equity investments | 1,777               | 2,030               |",[],[],[],7,"The generated answer provides the values for FY23 and FY24, which allows the user to calculate the variance. However, it does not directly answer the question by providing the variance itself, making it incomplete."
"What percentage of IFC's Total Disbursed Investment Portfolio did ""Equity investments"" account for in 2023?","From the 'Disbursed Investment Portfolio' data: ""Equity investments"", ""AS A % OF TOTAL"", ""20%"" for 2023.","In 2023, Equity investments represented 20% of the Total Disbursed Investment Portfolio.",15,table,"Based on the retrieved visual context, ""Equity investments"" accounted for 23% of IFC's Total Disbursed Investment Portfolio in 2023.",[],[],[],9,"The generated answer is very close to the reference answer. The only difference is that the generated answer states 23% while the reference answer states 20%. Since the reference answer is correct, the generated answer is only slightly off."
"What was the total disbursed investment portfolio for the Africa region as of June 30, 2024?","Visual data from Figure 10 (Disbursed Investment Portfolio Distribution by Region) shows ""Africa"" at ""12.1"" for FY24. Text refers to this figure for distribution.","The disbursed investment portfolio for Africa as of June 30, 2024, was $12.1 billion.",15,combination,"Based on the retrieved visual context, the total disbursed investment portfolio for the Africa region as of June 30, 2024, was $12.4 billion.",[],[],[],9,"The generated answer is factually incorrect, the correct answer is $12.1 billion, while the generated answer states $12.4 billion. However, the answer is complete and directly answers the question."
"Which industry sector within IFC's portfolio had disbursed investments amounting to $2,332 million in 2024?","From the 'Disbursed Investment Portfolio Distribution by Industry Sector' data: ""Transportation and Warehousing"", ""$2,332"" for 2024.","The ""Transportation and Warehousing"" sector had disbursed investments of $2,332 million in 2024.",16,table,"Based on the provided information, the **Financial Institutions** sector had disbursed investments amounting to $2,332 million in 2024 (retrieved from visual context).",[],[],[],1,"The generated answer is factually incorrect. The correct sector is ""Transportation and Warehousing"", not ""Financial Institutions""."
What was the carrying value of IFC's total loan portfolio as of the end of June 2024?,"Visual data from Figure 11 (Carrying Value of Loan Portfolio) showing the final bar ""June 2024"" at ""36,437"".","The carrying value of IFC's loan portfolio as of June 30, 2024, was $36,437 million.",17,image,"Based on the provided information, the carrying value of IFC's total loan portfolio as of the end of June 2024 was $79.4 billion (retrieved from visual context).",[],[],[],1,"The generated answer is factually incorrect. The reference answer states $36,437 million, while the generated answer states $79.4 billion."
"What was the predominant currency in IFC's disbursed loan portfolio as of June 30, 2024, and what was its value?","Visual data from Figure 12 (Currency Composition of Disbursed Loan Portfolio) showing ""U.S. dollar"" as the largest bar with a value of 25.2.","The U.S. dollar was the largest currency component of the disbursed loan portfolio as of June 30, 2024, at $25.2 billion.",17,image,"Based on the provided information, the predominant currency in IFC's disbursed loan portfolio as of June 30, 2024, was the US dollar, with a value of $79.7 billion. (Retrieved from visual context)",[],[],[],1,"The generated answer states the value of the US dollar in IFC's disbursed loan portfolio as $79.7 billion, while the reference answer states $25.2 billion. Therefore, the generated answer is incorrect."
What was the main reason for the change in the carrying value of IFC's equity investment portfolio from June 2023 to June 2024?,The increase was mainly due to net purchases (purchases net of sales).,"The increase in the carrying value of IFC's equity investment portfolio as of June 30, 2024, was mainly due to net purchases (purchases net of sales).",18,text,"Based on the provided information, the main reason for the change in the carrying value of IFC's equity investment portfolio from June 2023 to June 2024 is not available.",[],[],[],1,"The generated answer states that the information is not available, when it is in the document. The reference answer correctly identifies the reason for the change."
"How many global investors had pledged funds to the Managed Co-Lending Portfolio Program (MCPP) by June 30, 2024, and what was their total pledged amount?","As of June 30, 2024, seventeen global investors have pledged $16.2 billion to the MCPP, a $3.5 billion increase from the $12.7 billion as of June 30, 2023...","As of June 30, 2024, seventeen global investors had pledged $16.2 billion to the MCPP.",19,text,"By June 30, 2024, the Managed Co-Lending Portfolio Program (MCPP) had pledges from nine global investors, totaling $4.4 billion (retrieved from visual context).",[],[],[],6,"The generated answer is factually incorrect regarding the number of investors and the total pledged amount. The reference answer states 17 investors and $16.2 billion, while the generated answer states 9 investors and $4.4 billion. While it attempts to answer the question directly, the factual inaccuracies significantly lower the score."
"What is IFC's reported ownership interest in the ""IFC Financial Institutions Growth Fund, LP""?","From a table on IFC-Managed Funds: ""IFC Financial Institutions Growth Fund, LP"", ""30%""","IFC's ownership interest in the ""IFC Financial Institutions Growth Fund, LP"" was 30%.",19,table,"Based on the provided document patch, IFC's ownership interest in the ""IFC Financial Institutions Growth Fund, LP"" is not mentioned. Therefore, the answer is incomplete.",[],[],[],1,"The generated answer states that the document patch does not mention IFC's ownership interest, when the reference answer provides a specific percentage. The generated answer fails to extract the information and is therefore incorrect."
"What amount of funds did IFC contribute since inception to the ""IFC Global Infrastructure Fund, LP""?","From the 'AMC Funds' data: ""IFC Global Infrastructure Fund, LP"", ""FROM IFC"", ""$200""","The total funds raised since inception from IFC for the ""IFC Global Infrastructure Fund, LP"" were $200 million.",20,table,"Based on the provided information, the amount of funds that IFC contributed since inception to the ""IFC Global Infrastructure Fund, LP"" is not mentioned.",[],[],[],1,The generated answer states that the information is not available when it is in the reference answer. The generated answer is incorrect and unhelpful.
"What was the reported Income available for designation in FY24, and what textual explanation is provided for any updates to its calculation in that year?","Data for ""Income available for designation (Section II)"": ""$1,558"" (FY24).\nText: ""In FY24, IFC updated the calculation of Income Available for Designations to exclude income from Post-retirement Contribution Reserve Fund (PCRF), aligning it with its intended use for post-retirement contributions.""","In FY24, the Income available for designation was $1,558 million. The calculation was updated in FY24 to exclude income from the Post-retirement Contribution Reserve Fund (PCRF).",4; 8,combination (table and text),"Based on the provided information, the reported Income available for designation in FY24 was $1,064 million (retrieved visual context).

There were no textual explanations provided for any updates to its calculation in that year.",[],[],[],3,"The generated answer provides an incorrect figure for the Income available for designation in FY24 ($1,064 million vs. the correct $1,558 million). It also incorrectly states that there were no textual explanations provided for updates to the calculation; the reference answer states that the calculation was updated to exclude income from the Post-retirement Contribution Reserve Fund (PCRF)."
"What was IFC's outstanding borrowing amount as of June 30, 2024, and what primary reason is textually cited for its change from the previous year?","Visual data from Figure 6 showing Borrowings at approx. $55.8 billion for June 24.\nText: ""Borrowings outstanding (including fair value adjustments) increased by $3.4 billion from $52.4 billion as of June 30, 2023 to $55.8 billion as of June 30, 2024, mainly due to net new issuances of $3.7 billion.""","As of June 30, 2024, borrowings outstanding were $55.8 billion. This was an increase from June 30, 2023, mainly due to net new issuances of $3.7 billion.",7,combination (image and text),"Based on the provided information, IFC's outstanding borrowing amount as of June 30, 2024, is not available. The primary reason cited textually for its change from the previous year is also not available.",[],[],[],1,"The generated answer states that the information is not available, when the reference answer clearly states the information is available in the document. The generated answer fails to answer the question."
"What is the core mission of the International Finance Corporation, and what are its main types of investment products?","Text from Executive Summary: ""IFC's mission as one of the WBG entities-is to end extreme poverty and boost shared prosperity on a livable planet.""\nText from Overview: ""IFC's principal investment products are loans, equity investments, debt securities and guarantees.""","IFC's mission is to end extreme poverty and boost shared prosperity on a livable planet. Its principal investment products are loans, equity investments, debt securities, and guarantees.",5; 8,text (multi-page),"Based on the provided information, the core mission of the International Finance Corporation (IFC) is not explicitly stated. Additionally, the main types of investment products offered by the IFC are not mentioned. Therefore, the answer is incomplete.",[],[],[],1,"The generated answer fails to provide the correct information about the IFC's mission and investment products, instead stating that the information is not available. This is factually incorrect based on common knowledge and easily accessible information."
"How does IFC define ""Capital Available"" for the purpose of its Capital Utilization Ratio calculations?","Data for ""Capital Availabled"": ""$ 36.6"" (for 2024)\nText from footnote d: ""d. Capital Available: Resources available to absorb potential losses, calculated as: IFC's balance sheets capital minus designated retained earnings minus Pension surplus of each pension plan minus PCRF assets.""","Capital Available refers to resources available to absorb potential losses, calculated as IFC's balance sheet capital minus designated retained earnings, minus the pension surplus of each pension plan, minus PCRF assets.",9,combination (table and text),"Based on the provided information, I cannot answer how IFC defines ""Capital Available"" for the purpose of its Capital Utilization Ratio calculations.",[],[],[],1,The generated answer states that it cannot answer the question. The reference answer provides a direct answer to the question.
"Following the commitment and disbursement stages in IFC's Investment Project Cycle, what supervisory actions does IFC undertake as described in its Client Services section?","Visual data from Figure 8 showing ""Project Management"" after ""Disbursement"".\nText: ""IFC supervises its investments by closely monitoring project performance and ensuring compliance with contractual obligations and IFC's internal policies and procedures.""","After commitment and disbursement, as indicated by the ""Project Management"" stage in Figure 8, IFC supervises its investments by closely monitoring project performance and ensuring compliance with contractual obligations and its internal policies and procedures.",10,combination (image and text),"Based on the provided information, I cannot answer the question about the supervisory actions IFC undertakes in its Client Services section following the commitment and disbursement stages in its Investment Project Cycle. The provided text does not contain information about supervisory actions.",[],[],[],1,"The generated answer states it cannot answer the question, indicating a lack of relevant information retrieval or understanding. It fails to provide any information about IFC's supervisory actions, resulting in a score of 1."
"What were IFC's ""Total Long-Term Finance Own Account Commitments"" in FY24, and what was the corresponding ""Total disbursed investment portfolio"" for the Africa region as of June 30, 2024, based on investment portfolio details?","Data for ""Total Long-Term Finance Own Account Commitments"": ""$16,677"" (FY24)\nData from Investment Portfolio for ""Total Africa"": (sum of Loans, Equity investments, Debt securities for Africa in FY24) = ""$12,080""","Total Long-Term Finance Own Account Commitments in FY24 were $16,677 million. The total disbursed investment portfolio for Africa as of June 30, 2024, was $12,080 million.",14; 86,table (multi-page),"Based on the provided information:

*   **IFC's Total Long-Term Finance Own Account Commitments** in FY24 were **$11.9 billion**. (Source: Visual context)
*   The **Total disbursed investment portfolio** for the **Africa** region as of June 30, 2024, was **$12.4 billion**. (Source: Visual context)

Here's a summary in a table:

| Metric                                        | Value          |
| --------------------------------------------- | -------------- |
| Total Long-Term Finance Own Account Commitments | $11.9 billion  |
| Total disbursed investment portfolio (Africa)   | $12.4 billion |",[],[],[],3,"The generated answer provides incorrect figures for both metrics. The 'Total Long-Term Finance Own Account Commitments' is stated as $11.9 billion, while the correct value is $16,677 million. Similarly, the 'Total disbursed investment portfolio' for Africa is given as $12.4 billion, but the reference answer states $12,080 million. The answer is therefore factually incorrect and does not accurately resolve the question."
"What was IFC's Net Income for FY24, and what were the main drivers identified in the Executive Summary for its increase from FY23?","Text: ""IFC's net income was $1.5 billion in FY24..."" and ""The increase in Net Income and Income Available for Designations was mainly driven by higher treasury income and strong net interest income on loans and debt securities in FY24.""\nData for ""Net income (loss) (Section VIII)"":""$ 1,485"" (FY24)\nVisual data from Figure 1 showing Net Income for FY24 at 1,485.","IFC's Net Income for FY24 was $1,485 million (or $1.5 billion). The increase compared to FY23 was mainly driven by higher treasury income and strong net interest income on loans and debt securities in FY24.",4; 5; 6,combination (text,"Based on the provided information:

*   **IFC's Net Income for FY24:** The Executive Summary states that IFC’s net income increased to $2.9 billion in FY24.
*   **Main drivers for the increase from FY23:** The Executive Summary identifies the following main drivers:
    *   Higher realized gains from equity investments.
    *   A decrease in impairment losses.",[],[],[],2,"The generated answer provides incorrect figures for IFC's Net Income in FY24 ($2.9 billion vs. the correct $1.5 billion). It also identifies incorrect drivers for the increase from FY23, as the reference answer states that the increase was mainly driven by higher treasury income and strong net interest income on loans and debt securities in FY24, while the generated answer mentions higher realized gains from equity investments and a decrease in impairment losses."
